324,Compelling Products,Commercial Accelerators,"Configurable Event Delivery Layer for Ocean Track & Trace API

Triggered by Walmart integration (APIS-4918), this initiative builds a platform-level capability rather than a one-off customization. Three core features:

1. Configurable payload format - option to strip Cloud Event envelope and deliver raw event arrays
2. Container (EQ) references on transport events - link containers to vessel movements
3. Incremental (latest-only) event delivery - shift from full transport plan snapshots to real-time deltas

This enables leaner integrations, reduces consumer-side deduplication effort, and aligns with DCSA V2 evolution.",Commercial Accelerator,Revenue Enabler – EBIT,"50,000
","• API premium tier adoption rate (target: 15+ customers in Year 1)
• Incremental revenue from real-time tier ($)
• Walmart integration go-live (target: Q2 FY next year)
• Event delivery latency (target: <5 min from source event)
• Data quality score on incremental events (target: >99.5% accuracy)
• Customer NPS / CSAT on Track & Trace API

Value
• Premium tier pricing for real-time incremental feed (est. $50 to 100k)
• Reduced churn risk on Tier-1 accounts (Walmart)
• Marginal cost low once platform is built - high-margin revenue stream",No - New Initiative,"High - Tier-1 Customer Retention & Acquisition

• Walmart: unblocks integration currently stalled on APIS-4918
• Tech-first customers (retailers, 3PLs, freight forwarders) increasingly demand lean, real-time APIs
• Competitive parity: major carriers already offer incremental event delivery
• Potential to convert existing batch consumers to premium tier","Significant - Simplified Integration

• No more deduplication logic on consumer side
• Smaller payloads reduce bandwidth and processing time
• Container-level granularity enables precise operational workflows
• Real-time events enable downstream automation (ETA alerts, exception handling)",Global,"Track & Trace API Platform
Total Visibility
Single Source of Truth (maersk.com)",DCSA Ocean T&T Webhook V2.2 ,"Total Visibility (data source)
Single Source of Truth (data quality)
New source systems (EQ reference enrichment)
Customer Portal (future extension)","Dependencies:
• Total Visibility data maturity - must validate event accuracy before incremental delivery
• Single Source of Truth (maersk.com) roadmap alignment
• New source system availability for EQ references on transport events

Risks:
• Data quality gaps exposed to Tier-1 customer if launched prematurely
• Scope creep if treated as Walmart-only customization vs. platform capability
• Sequencing conflict with Total Visibility roadmap",,[TBD — Finance Partner Name],"PPO: Jonathan Kartz
Eng Head: Dinesh Nithyanandam
Tech Lead: Ricardo Passos",M,,,"Ricardo Passos, Dinesh Nithyanandam, Cornelia Buehrer ",M,Yes,Tech Enabling OP doc,,,,
325,Simple & Seamless Execution,Contract Governance & Subscription Lifecycle,"1. ""--A robust, maintained Ts&Cs taxonomy structure that is actively populated with product and functional content to serve the needs of latest business offerings.
--Localization content coverage, including regulatory, product and language needs""
2. Linked Ts&Cs content to give standardized coverage to all journeys
--Instant journeys  (inc L&S e.g. MCL white space)
--Fast Track
--Tender journey inc. multi-product
-- Opportunity under an MSA
--LOI journey
3. Touch-free contracting with adherence to system-based journey ",System-based contracting for accurate and timely commitment handover,FTE Efficiency,TBC,"(1) Taxonomy completeness
(2) Ts&Cs taxonomy quality
(3) Localization measure of prioritised needs met
(1) % opportunities possible served with content + system journeys (count based)
(2) % opportunities possible  served with content + system journeys (revenue weighted)
(1) % of journeys completing contracting within platform
(1a) % of Instant journey opportunities that are touch-free contracting
(1b) % of Fast-Track journeys that are touch-free contracting
(1c) % of Standard tender journeys that are touch-free contracting
(1d) % of Negotiated contracts using NSTC through routed approval/sgnatory

",,,,,,,,,Gemma Allen,,,,,Ivana Strikic Lund,,,,Shruti,LTA,,Ocean Contract Products,
326,Simple & Seamless Execution,Contract Governance & Subscription Lifecycle,"Extending opportunity coverage of Contract Risk Assessment capabilities, including product-price linkage for risk elements
Contract Risk dashboards for Corporate Memory, allowing application of precedence, and first-glance awareness for sales
Contract-AI to facilitate faster, NSTC integrated quality red-lining
Contract-AI to lift the filing quality proactively

[Add] Improve user friendliness of the tool",Contract AI applications to enable us to approve & file to the right deals,,TBC,"""(1) Sales TAT, 
(2) Opportuntieis dispositioned based on first-glance 
(3) User sentiment measure""
""(1) Overall Ts&CS TAT start-to-close
(2) Legal Ts&CS first-review TAT
(3) Count of Ts&Cs negotiation rounds""
""Opportunity level contract & parameter %s
(1) are the correct Ts&Cs referenced?
(2) is the latest rate card included?
(3) is the correct Maersk legal entity used?
(4) is the correct signatory used? (if applicable)
(5) is the scope sold adequately described?""",,,,,,,,,Gemma Allen,,,,,Ivana Strikic Lund,,,,Shruti,,,Ocean Contract Products,
327,Simple & Seamless Execution,Contract Governance & Subscription Lifecycle,"Link the negotiated contracting process risk assessment, and functional reviewer to the Ts&Cs Guardrails
Use legal entity mapping logic to provide sales guidance through system
Use GAM mapping to route exceptions and risks to Functional Reviewers, Deal Approvers, and thereafter Signatories
Define the local and global Signatory policies based on entity
Enable multi-product Integrator journey",Application of Commercial GAM to underpin our Contracting processes,,TBC,,,,,,,,,,Gemma Allen,,,,,Ivana Strikic Lund,,,,Shruti,,,Ocean Contract Products,
328,Simple & Seamless Execution,Contract Governance & Subscription Lifecycle,"Athena Contract Header
OOG, Special cargo  Filing
VIP Filing
CAT Filing enhancements
FMC compliance enhancements & reporting",Contract Filing Other needs,,TBC,,,,,,,,,,Gemma Allen,,,,,Ivana Strikic Lund,,,,Shruti,,,Ocean Contract Products,
329,Simple & Seamless Execution,Contract Governance & Subscription Lifecycle,"Legal precendence(routing from legal front-door)
Contract-AI to faciltiate executional consumption needs
System Credit filing/Standalone credit consumption
CCD Contract data connection to Onboarding CX
aLex Disputes
aLex OCE claims",Empower downstream with Contract Consumption integration and visibility,,TBC,,,,,,,,,,Gemma Allen,,,,,Ivana Strikic Lund,,,,Shruti,,,Ocean Contract Products,
,,,,,,,,,,,,,,,,Gemma Allen,,,,,Ivana Strikic Lund,,,,Shruti,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
